state,label,url,file,ok,reason
Enugu,enugu east,https://www.inecnigeria.org/wp-content/uploads/2024/05/ENUGU-EAST.pdf,Enugu_ENUGU-EAST.pdf,True,
Enugu,enugu north,https://www.inecnigeria.org/wp-content/uploads/2024/05/ENUGU-NORTH.pdf,Enugu_ENUGU-NORTH.pdf,True,
Enugu,enugu west,https://www.inecnigeria.org/wp-content/uploads/2024/05/ENUGU-WEST.pdf,Enugu_ENUGU-WEST.pdf,True,
FCT,Abaji – Gwagwalada,https://www.inecnigeria.org/wp-content/uploads/2024/05/ABAJI_GWAGWALADA.pdf,FCT_ABAJI_GWAGWALADA.pdf,True,
FCT,bwari municipal,https://www.inecnigeria.org/wp-content/uploads/2024/05/BWARI-MUNICIPAL.pdf,FCT_BWARI-MUNICIPAL.pdf,True,
FCT,fCT Senatorial District,https://www.inecnigeria.org/wp-content/uploads/2024/05/FCT-SD.pdf,FCT_FCT-SD.pdf,True,
Gombe,gombe central,https://www.inecnigeria.org/wp-content/uploads/2024/05/GOMBE-CENTRAL.pdf,Gombe_GOMBE-CENTRAL.pdf,True,
Gombe,gombe north,https://www.inecnigeria.org/wp-content/uploads/2024/05/GOMBE-NORTH.pdf,Gombe_GOMBE-NORTH.pdf,True,
Gombe,gombe south,https://www.inecnigeria.org/wp-content/uploads/2024/05/GOMBE-SOUTH.pdf,Gombe_GOMBE-SOUTH.pdf,True,
Imo,imo east,https://www.inecnigeria.org/wp-content/uploads/2024/05/IMO-EAST.pdf,Imo_IMO-EAST.pdf,True,
Imo,imo west,https://www.inecnigeria.org/wp-content/uploads/2024/05/IMO-WEST.pdf,Imo_IMO-WEST.pdf,True,
Jigawa,jigawa northeast,https://www.inecnigeria.org/wp-content/uploads/2024/05/JIGAWA-NORTHEAST.pdf,Jigawa_JIGAWA-NORTHEAST.pdf,True,
Jigawa,jigawa northwest,https://www.inecnigeria.org/wp-content/uploads/2024/05/JIGAWA-NORTHWEST.pdf,Jigawa_JIGAWA-NORTHWEST.pdf,True,
Jigawa,jigawa southwest,https://www.inecnigeria.org/wp-content/uploads/2024/05/JIGAWA-SOUITHWEST.pdf,Jigawa_JIGAWA-SOUITHWEST.pdf,True,
Kaduna,kaduna central,https://www.inecnigeria.org/wp-content/uploads/2024/05/KADUNA-CENTRAL.pdf,Kaduna_KADUNA-CENTRAL.pdf,True,
Kaduna,kaduna north,https://www.inecnigeria.org/wp-content/uploads/2024/05/KADUNA-NORTH-1.pdf,Kaduna_KADUNA-NORTH-1.pdf,True,
Kaduna,kaduna south,https://www.inecnigeria.org/wp-content/uploads/2024/05/KADUNA-SOUTH-1.pdf,Kaduna_KADUNA-SOUTH-1.pdf,True,
Kano,kano central,https://www.inecnigeria.org/wp-content/uploads/2024/05/kano-central.pdf,Kano_kano-central.pdf,True,
Kano,kano north,https://www.inecnigeria.org/wp-content/uploads/2024/05/KANO-NORTH.pdf,Kano_KANO-NORTH.pdf,True,
Kano,kano south,https://www.inecnigeria.org/wp-content/uploads/2024/05/KANO-SOUTH.pdf,Kano_KANO-SOUTH.pdf,True,
Katsina,katsina central,https://www.inecnigeria.org/wp-content/uploads/2024/05/KATSINA-CENTRAL.pdf,Katsina_KATSINA-CENTRAL.pdf,True,
Katsina,katsina north,https://www.inecnigeria.org/wp-content/uploads/2024/05/KATSINA-NORTH.pdf,Katsina_KATSINA-NORTH.pdf,True,
Katsina,katsina south,https://www.inecnigeria.org/wp-content/uploads/2024/05/KATSINA-SOUTH.pdf,Katsina_KATSINA-SOUTH.pdf,True,
Kebbi,kebbi north,https://www.inecnigeria.org/wp-content/uploads/2024/05/KEBBI-NORTH.pdf,Kebbi_KEBBI-NORTH.pdf,True,
Kebbi,kebbi central,https://www.inecnigeria.org/wp-content/uploads/2024/05/KEBBI-CENTRAL.pdf,Kebbi_KEBBI-CENTRAL.pdf,True,
Kebbi,kebbi south,https://www.inecnigeria.org/wp-content/uploads/2024/05/KEBBI-SOUTH.pdf,Kebbi_KEBBI-SOUTH.pdf,True,
Kogi,kogi central,https://www.inecnigeria.org/wp-content/uploads/2024/05/KOGI-CENTRAL.pdf,Kogi_KOGI-CENTRAL.pdf,True,
Kogi,kogi east,https://www.inecnigeria.org/wp-content/uploads/2024/05/KOGI-EAST.pdf,Kogi_KOGI-EAST.pdf,True,
Kogi,kogi west,https://www.inecnigeria.org/wp-content/uploads/2024/05/KOGI-WEST.pdf,Kogi_KOGI-WEST.pdf,True,
Kwara,kwara south,https://www.inecnigeria.org/wp-content/uploads/2024/05/KWARA-SOUTH.pdf,Kwara_KWARA-SOUTH.pdf,True,
Kwara,kwara central,https://www.inecnigeria.org/wp-content/uploads/2024/05/KWARA-CENTRAL.pdf,Kwara_KWARA-CENTRAL.pdf,True,
Kwara,kwara north,https://www.inecnigeria.org/wp-content/uploads/2024/05/KWARA-NORTH.pdf,Kwara_KWARA-NORTH.pdf,True,
Lagos,lagos central,https://www.inecnigeria.org/wp-content/uploads/2024/05/LAGOS-CENTRAL.pdf,Lagos_LAGOS-CENTRAL.pdf,True,
Lagos,lagos east,https://www.inecnigeria.org/wp-content/uploads/2024/05/LAGOS-EAST.pdf,Lagos_LAGOS-EAST.pdf,True,
Lagos,lagos west,https://www.inecnigeria.org/wp-content/uploads/2024/05/LAGOS-WEST.pdf,Lagos_LAGOS-WEST.pdf,True,
Nasarawa,nassarawa north,https://www.inecnigeria.org/wp-content/uploads/2024/05/NASSARAWA-NORTH.pdf,Nasarawa_NASSARAWA-NORTH.pdf,True,
Nasarawa,nassarawa south,https://www.inecnigeria.org/wp-content/uploads/2024/05/NASSARAWA-SOUTH.pdf,Nasarawa_NASSARAWA-SOUTH.pdf,True,
Nasarawa,nassarawa west,https://www.inecnigeria.org/wp-content/uploads/2024/05/NASSARAWA-WEST.pdf,Nasarawa_NASSARAWA-WEST.pdf,True,
Niger,niger east,https://www.inecnigeria.org/wp-content/uploads/2024/05/NIGER-EAST.pdf,Niger_NIGER-EAST.pdf,True,
Niger,niger north,https://www.inecnigeria.org/wp-content/uploads/2024/05/NIGER-NORTH.pdf,Niger_NIGER-NORTH.pdf,True,
Niger,niger south,https://www.inecnigeria.org/wp-content/uploads/2024/05/NIGER-SOUTH.pdf,Niger_NIGER-SOUTH.pdf,True,
Ogun,ogun central,https://www.inecnigeria.org/wp-content/uploads/2024/05/OGUN-CENTRAL.pdf,Ogun_OGUN-CENTRAL.pdf,True,
Ogun,ogun east,https://www.inecnigeria.org/wp-content/uploads/2024/05/OGUN-EAST.pdf,Ogun_OGUN-EAST.pdf,True,
