state,lga,apc,pdp,others
Gombe,Akko,50919,36759,4111
Gombe,Balanga,25341,20085,2091
Gombe,Billiri,14752,23066,4781
Gombe,Dukku,35207,14181,2165
Gombe,Funakaye,30371,17332,1018
Gombe,Gombe,58645,31605,6501
Gombe,Kaltungo,21015,21321,1817
Gombe,Kwami,33956,17454,1581
Gombe,Nafada,15025,9378,701
Gombe,Shongom,13609,13412,1258
Gombe,Yamaltu/Deba,43981,28538,3379
