state,lga,apc,pdp
Kebbi,Argungu,23692,29530
Kebbi,Jega,23542,19547
Kebbi,Suru,19418,17310
Kebbi,Augie,17595,15889
Kebbi,Maiyama,17283,15252
Kebbi,Gwandu,16028,15001
Kebbi,Bunza,15830,14203
Kebbi,Aliero,11126,15828
Kebbi,Yauri,15131,14241
Kebbi,Koko/Besse,13138,10969
Kebbi,Kalgo,11799,10422
