state,district,candidate,party,votes,percent,source
FCT,FCT,Angulu Zakari,APC,78905.0,,results_table
FCT,FCT,Ireti Kingibe,LP,202175.0,,results_table
FCT,FCT,Philips Tanimu Aduda,PDP,100544.0,,results_table
Abia,Abia Central,John Godson,ADC,1980.0,1.3,results_table
Abia,Abia Central,Samuel Onuigbo,APC,7997.0,5.0,results_table
Abia,Abia Central,Ahamdi Emmanuel Nweke,APGA,4637.0,2.9,results_table
Abia,Abia Central,Aiyelabegan Abdul,New Nigeria Peoples Party,514.0,0.3,results_table
Abia,Abia Central,Ibekwe Kennry Chimezie Olekanma,NRM,587.0,3.7,results_table
Abia,Abia Central,Patrick Nwosu,SDP,1030.0,0.6,results_table
Abia,Abia Central,Chuku Wachuku,YPP,7395.0,4.7,results_table
Abia,Abia North,Orji Uzor Kalu,APC,30805.0,,results_table
Abia,Abia North,Nnamdi Iro Oji,LP,27540.0,,results_table
Abia,Abia North,Mao Ohuabunwa,PDP,15175.0,,results_table
Abia,Abia South,Enyinnaya Abaribe,APGA,49693.0,,results_table
Abia,Abia South,Chinedu Onyeizu,LP,43903.0,,results_table
Abia,Abia South,Okezie Ikpeazu,PDP,28422.0,,results_table
Adamawa,Adamawa Central,Abdul-Aziz Nyako,APC,,,winner_only
Adamawa,Adamawa Central,Ahmadu Hamman,NNPP,,,winner_only
Adamawa,Adamawa Central,Aminu Iya Abbas,PDP,,,winner_only
Adamawa,Adamawa North,Ishaku Elisha Abbo,APC,,,winner_only
Adamawa,Adamawa North,Abdullahi Dauda Belel,NNPP,,,winner_only
Adamawa,Adamawa North,Amos Yohana,PDP,,,winner_only
Adamawa,Adamawa South,Adamu Ismaila Numan,APC,,,winner_only
Adamawa,Adamawa South,Binos Dauda Yaroe,PDP,,,winner_only
Akwa Ibom,Akwa Ibom North-East,Ndem Ndem,APC,,,winner_only
Akwa Ibom,Akwa Ibom North-East,Aniekan Bassey,PDP,,,winner_only
Akwa Ibom,Akwa Ibom North-West,Godswill Akpabio,APC,,,winner_only
Akwa Ibom,Akwa Ibom North-West,Emmanuel Enoidem,PDP,,,winner_only
Akwa Ibom,Akwa Ibom South,Martins Udo-Inyang,APC,,,winner_only
Akwa Ibom,Akwa Ibom South,Ekong Sampson,PDP,,,winner_only
Anambra,Anambra Central,Kodilichukwu Okelekwe,APC,,,winner_only
Anambra,Anambra Central,Dozie Nwankwo,APGA,,,winner_only
Anambra,Anambra Central,Victor Umeh,LP,,,winner_only
Anambra,Anambra Central,Uche Ekwunife,PDP,,,winner_only
Anambra,Anambra North,Ifeyinwa Anazonwu,APC,,,winner_only
Anambra,Anambra North,Ebelechukwu Obiano,APGA,,,winner_only
Anambra,Anambra North,Tony Nwoye,LP,,,winner_only
Anambra,Anambra North,Stella Oduah,PDP,,,winner_only
Anambra,Anambra South,Chukwuma Michael Umeoji,APC,,,winner_only
Anambra,Anambra South,TBD,APGA,,,winner_only
Anambra,Anambra South,Obinna Uzoh,LP,,,winner_only
Anambra,Anambra South,Chris Uba,PDP,,,winner_only
Anambra,Anambra South,Ifeanyi Ubah,YPP,,,winner_only
Bauchi,Bauchi Central,Uba Ahmed Nana,APC,84621.0,,results_table
Bauchi,Bauchi Central,Abdul Ahmed Ningi,PDP,104878.0,,results_table
Bauchi,Bauchi North,Siraj Ibrahim Tanko Muhammad,APC,100246.0,,results_table
Bauchi,Bauchi North,Sama'ila Dahuwa,PDP,102043.0,,results_table
Bauchi,Bauchi South,Yahaya Idris,ADP,1059.0,,results_table
Bauchi,Bauchi South,Idris Hassan,APP,951.0,,results_table
Bauchi,Bauchi South,Naziru Dahiru Usman,ADC,1020.0,,results_table
Bauchi,Bauchi South,Shehu Buba Umar,APC,175505.0,,results_table
Bauchi,Bauchi South,Muhammed Chindo,APGA,1075.0,,results_table
Bauchi,Bauchi South,Sani Ahmad,LP,7130.0,,results_table
Bauchi,Bauchi South,Lawal Yahaya Gumau,New Nigeria Peoples Party,53739.0,,results_table
Bauchi,Bauchi South,Dahiru Garba,PDP,165727.0,,results_table
Bayelsa,Bayelsa Central,Timipa Tiwei Orunimighe,APC,,,winner_only
Bayelsa,Bayelsa Central,Kombowei Benson,PDP,,,winner_only
Bayelsa,Bayelsa East,Biobarakuma Degi,APC,,,winner_only
Bayelsa,Bayelsa East,Benson Agadaga,PDP,,,winner_only
Bayelsa,Bayelsa West,Wilson Ayakpo Dauyegha,APC,,,winner_only
Bayelsa,Bayelsa West,Henry Seriake Dickson,PDP,,,winner_only
Benue,Benue North-East,Emmanuel Memga Udende,APC,,,winner_only
Benue,Benue North-East,Gabriel Suswam,PDP,,,winner_only
Benue,Benue North-West,Titus Zam,APC,,,winner_only
Benue,Benue North-West,Samuel Ortom,PDP,,,winner_only
Benue,Benue South,Daniel Onjeh,APC,,,winner_only
Benue,Benue South,Patrick Abba Moro,PDP,,,winner_only
Borno,Borno Central,Shehu Lawan,APC,,,winner_only
Borno,Borno Central,Mohammed Umara Kumalia,PDP,,,winner_only
