state,candidate,party,votes,percent,source
Enugu,Felix Nicolas,PCP,2337.0,0.56,national_by_state_table
Enugu,Obadiah Mailafia,ADC,348.0,0.08,national_by_state_table
Enugu,Gbor Terwase,AAC,1618.0,0.38,national_by_state_table
Enugu,Others,,6735.0,1.6,national_by_state_table
F.C.T.,Muhammadu Buhari,APC,152224.0,35.91,national_by_state_table
F.C.T.,Atiku Abubakar,PDP,259997.0,61.33,national_by_state_table
F.C.T.,Felix Nicolas,PCP,2921.0,0.69,national_by_state_table
F.C.T.,Obadiah Mailafia,ADC,246.0,0.06,national_by_state_table
F.C.T.,Gbor Terwase,AAC,255.0,0.06,national_by_state_table
F.C.T.,Others,,8308.0,1.96,national_by_state_table
Gombe,Muhammadu Buhari,APC,402961.0,72.71,national_by_state_table
Gombe,Atiku Abubakar,PDP,138484.0,24.99,national_by_state_table
Gombe,Felix Nicolas,PCP,1679.0,0.3,national_by_state_table
Gombe,Obadiah Mailafia,ADC,248.0,0.04,national_by_state_table
Gombe,Gbor Terwase,AAC,124.0,0.02,national_by_state_table
Gombe,Others,,10707.0,1.93,national_by_state_table
Imo,Muhammadu Buhari,APC,140463.0,27.46,national_by_state_table
Imo,Atiku Abubakar,PDP,334923.0,65.47,national_by_state_table
Imo,Felix Nicolas,PCP,4883.0,0.95,national_by_state_table
Imo,Obadiah Mailafia,ADC,541.0,0.11,national_by_state_table
Imo,Gbor Terwase,AAC,10880.0,2.13,national_by_state_table
Imo,Others,,19896.0,3.89,national_by_state_table
Jigawa,Muhammadu Buhari,APC,794738.0,71.84,national_by_state_table
Jigawa,Atiku Abubakar,PDP,289895.0,26.21,national_by_state_table
Jigawa,Felix Nicolas,PCP,2761.0,0.25,national_by_state_table
Jigawa,Obadiah Mailafia,ADC,261.0,0.02,national_by_state_table
Jigawa,Gbor Terwase,AAC,140.0,0.01,national_by_state_table
Jigawa,Others,,18449.0,1.67,national_by_state_table
Kaduna,Muhammadu Buhari,APC,993445.0,59.72,national_by_state_table
Kaduna,Atiku Abubakar,PDP,649612.0,39.05,national_by_state_table
Kaduna,Felix Nicolas,PCP,4027.0,0.24,national_by_state_table
Kaduna,Obadiah Mailafia,ADC,558.0,0.03,national_by_state_table
Kaduna,Gbor Terwase,AAC,749.0,0.05,national_by_state_table
Kaduna,Others,,15212.0,0.91,national_by_state_table
Kano,Muhammadu Buhari,APC,1464768.0,77.45,national_by_state_table
Kano,Atiku Abubakar,PDP,391593.0,20.71,national_by_state_table
Kano,Felix Nicolas,PCP,3568.0,0.19,national_by_state_table
Kano,Obadiah Mailafia,ADC,591.0,0.03,national_by_state_table
Kano,Gbor Terwase,AAC,549.0,0.03,national_by_state_table
Kano,Others,,30065.0,1.59,national_by_state_table
Katsina,Muhammadu Buhari,APC,1232133.0,79.21,national_by_state_table
Katsina,Atiku Abubakar,PDP,308056.0,19.8,national_by_state_table
Katsina,Felix Nicolas,PCP,2399.0,0.15,national_by_state_table
Katsina,Obadiah Mailafia,ADC,237.0,0.02,national_by_state_table
Katsina,Gbor Terwase,AAC,331.0,0.02,national_by_state_table
Katsina,Others,,12317.0,0.79,national_by_state_table
Kebbi,Muhammadu Buhari,APC,581552.0,76.86,national_by_state_table
Kebbi,Atiku Abubakar,PDP,154282.0,20.39,national_by_state_table
Kebbi,Felix Nicolas,PCP,1794.0,0.24,national_by_state_table
Kebbi,Obadiah Mailafia,ADC,285.0,0.04,national_by_state_table
Kebbi,Gbor Terwase,AAC,228.0,0.03,national_by_state_table
Kebbi,Others,,18464.0,2.44,national_by_state_table
Kogi,Muhammadu Buhari,APC,285894.0,54.87,national_by_state_table
Kogi,Atiku Abubakar,PDP,218207.0,41.88,national_by_state_table
Kogi,Felix Nicolas,PCP,2207.0,0.42,national_by_state_table
Kogi,Obadiah Mailafia,ADC,4369.0,0.84,national_by_state_table
Kogi,Gbor Terwase,AAC,318.0,0.06,national_by_state_table
Kogi,Others,,10021.0,1.92,national_by_state_table
Kwara,Muhammadu Buhari,APC,308984.0,67.22,national_by_state_table
Kwara,Atiku Abubakar,PDP,138184.0,30.06,national_by_state_table
Kwara,Felix Nicolas,PCP,2108.0,0.46,national_by_state_table
Kwara,Obadiah Mailafia,ADC,456.0,0.1,national_by_state_table
Kwara,Gbor Terwase,AAC,89.0,0.02,national_by_state_table
Kwara,Others,,9855.0,2.14,national_by_state_table
Lagos,Muhammadu Buhari,APC,580825.0,53.31,national_by_state_table
Lagos,Atiku Abubakar,PDP,448015.0,41.12,national_by_state_table
Lagos,Felix Nicolas,PCP,8458.0,0.78,national_by_state_table
Lagos,Obadiah Mailafia,ADC,2915.0,0.27,national_by_state_table
Lagos,Gbor Terwase,AAC,499.0,0.05,national_by_state_table
Lagos,Others,,48855.0,4.48,national_by_state_table
Nasarawa,Muhammadu Buhari,APC,289903.0,49.92,national_by_state_table
Nasarawa,Atiku Abubakar,PDP,283847.0,48.87,national_by_state_table
Nasarawa,Felix Nicolas,PCP,1868.0,0.32,national_by_state_table
Nasarawa,Obadiah Mailafia,ADC,339.0,0.06,national_by_state_table
Nasarawa,Gbor Terwase,AAC,1523.0,0.26,national_by_state_table
Nasarawa,Others,,3298.0,0.57,national_by_state_table
Niger,Muhammadu Buhari,APC,612371.0,71.88,national_by_state_table
Niger,Atiku Abubakar,PDP,218052.0,25.59,national_by_state_table
Niger,Felix Nicolas,PCP,2855.0,0.34,national_by_state_table
Niger,Obadiah Mailafia,ADC,588.0,0.07,national_by_state_table
Niger,Gbor Terwase,AAC,389.0,0.05,national_by_state_table
Niger,Others,,17682.0,2.08,national_by_state_table
Ogun,Muhammadu Buhari,APC,281762.0,49.94,national_by_state_table
Ogun,Atiku Abubakar,PDP,194655.0,34.5,national_by_state_table
Ogun,Felix Nicolas,PCP,3563.0,0.63,national_by_state_table
Ogun,Obadiah Mailafia,ADC,25283.0,4.48,national_by_state_table
Ogun,Gbor Terwase,AAC,222.0,0.04,national_by_state_table
Ogun,Others,,58771.0,10.42,national_by_state_table
Ondo,Muhammadu Buhari,APC,241769.0,43.48,national_by_state_table
Ondo,Atiku Abubakar,PDP,275901.0,49.62,national_by_state_table
Ondo,Felix Nicolas,PCP,4829.0,0.87,national_by_state_table
Ondo,Obadiah Mailafia,ADC,6296.0,1.13,national_by_state_table
Ondo,Gbor Terwase,AAC,90.0,0.02,national_by_state_table
Ondo,Others,,27109.0,4.88,national_by_state_table
Osun,Muhammadu Buhari,APC,347634.0,48.64,national_by_state_table
Osun,Atiku Abubakar,PDP,337377.0,47.21,national_by_state_table
Osun,Felix Nicolas,PCP,4888.0,0.68,national_by_state_table
Osun,Obadiah Mailafia,ADC,1525.0,0.21,national_by_state_table
Osun,Gbor Terwase,AAC,73.0,0.01,national_by_state_table
Osun,Others,,23185.0,3.24,national_by_state_table
Oyo,Muhammadu Buhari,APC,365229.0,43.66,national_by_state_table
Oyo,Atiku Abubakar,PDP,366690.0,43.83,national_by_state_table
Oyo,Felix Nicolas,PCP,5352.0,0.64,national_by_state_table
Oyo,Obadiah Mailafia,ADC,40830.0,4.88,national_by_state_table
Oyo,Gbor Terwase,AAC,197.0,0.02,national_by_state_table
Oyo,Others,,58233.0,6.96,national_by_state_table
Plateau,Muhammadu Buhari,APC,468555.0,45.28,national_by_state_table
Plateau,Atiku Abubakar,PDP,548665.0,53.02,national_by_state_table
Plateau,Felix Nicolas,PCP,4276.0,0.41,national_by_state_table
Plateau,Obadiah Mailafia,ADC,590.0,0.06,national_by_state_table
Plateau,Gbor Terwase,AAC,160.0,0.02,national_by_state_table
Plateau,Others,,12607.0,1.22,national_by_state_table
Rivers,Muhammadu Buhari,APC,150710.0,23.47,national_by_state_table
Rivers,Atiku Abubakar,PDP,473971.0,73.81,national_by_state_table
Rivers,Felix Nicolas,PCP,2954.0,0.46,national_by_state_table
Rivers,Obadiah Mailafia,ADC,597.0,0.09,national_by_state_table
Rivers,Gbor Terwase,AAC,614.0,0.1,national_by_state_table
Rivers,Others,,13319.0,2.07,national_by_state_table
Sokoto,Muhammadu Buhari,APC,490333.0,56.24,national_by_state_table
Sokoto,Atiku Abubakar,PDP,361604.0,41.47,national_by_state_table
Sokoto,Felix Nicolas,PCP,2630.0,0.3,national_by_state_table
Sokoto,Obadiah Mailafia,ADC,331.0,0.04,national_by_state_table
Sokoto,Gbor Terwase,AAC,313.0,0.04,national_by_state_table
Sokoto,Others,,16680.0,1.91,national_by_state_table
Taraba,Muhammadu Buhari,APC,324906.0,45.58,national_by_state_table
Taraba,Atiku Abubakar,PDP,374743.0,52.57,national_by_state_table
Taraba,Felix Nicolas,PCP,321.0,0.05,national_by_state_table
Taraba,Obadiah Mailafia,ADC,211.0,0.03,national_by_state_table
Taraba,Gbor Terwase,AAC,1071.0,0.15,national_by_state_table
Taraba,Others,,11625.0,1.63,national_by_state_table
Yobe,Muhammadu Buhari,APC,497914.0,89.01,national_by_state_table
Yobe,Atiku Abubakar,PDP,50763.0,9.08,national_by_state_table
Yobe,Felix Nicolas,PCP,2107.0,0.38,national_by_state_table
Yobe,Obadiah Mailafia,ADC,162.0,0.03,national_by_state_table
Yobe,Gbor Terwase,AAC,226.0,0.04,national_by_state_table
Yobe,Others,,8193.0,1.46,national_by_state_table
Zamfara,Muhammadu Buhari,APC,438682.0,75.84,national_by_state_table
Zamfara,Atiku Abubakar,PDP,125423.0,21.68,national_by_state_table
Zamfara,Felix Nicolas,PCP,774.0,0.13,national_by_state_table
Zamfara,Obadiah Mailafia,ADC,186.0,0.03,national_by_state_table
Zamfara,Gbor Terwase,AAC,738.0,0.13,national_by_state_table
Zamfara,Others,,12636.0,2.18,national_by_state_table
