state,lga,candidate,party,votes,percent
Ekiti,Ijero Ekiti,Atiku Abubakar,PDP,5731.0,29.68
Ekiti,Ijero Ekiti,Peter Obi,LP,373.0,1.93
Ekiti,Ijero Ekiti,Rabiu Kwankwaso,NNPP,6.0,0.03
Ekiti,Ijero Ekiti,Other candidates,,576.0,2.98
Ekiti,Ikere-Ekiti,Bola Tinubu,APC,11659.0,58.17
Ekiti,Ikere-Ekiti,Atiku Abubakar,PDP,7198.0,35.91
Ekiti,Ikere-Ekiti,Peter Obi,LP,910.0,4.54
Ekiti,Ikere-Ekiti,Rabiu Kwankwaso,NNPP,24.0,0.12
Ekiti,Ikere-Ekiti,Other candidates,,253.0,1.26
Ekiti,Ikole,Bola Tinubu,APC,15465.0,57.36
Ekiti,Ikole,Atiku Abubakar,PDP,10198.0,37.82
Ekiti,Ikole,Peter Obi,LP,779.0,2.89
Ekiti,Ikole,Rabiu Kwankwaso,NNPP,11.0,0.04
Ekiti,Ikole,Other candidates,,509.0,1.89
Ekiti,Ilejemeje,Bola Tinubu,APC,4599.0,62.05
Ekiti,Ilejemeje,Atiku Abubakar,PDP,2662.0,35.91
Ekiti,Ilejemeje,Peter Obi,LP,97.0,1.31
Ekiti,Ilejemeje,Rabiu Kwankwaso,NNPP,3.0,0.04
Ekiti,Ilejemeje,Other candidates,,51.0,0.69
Ekiti,Irepodun/Ifelodun,Bola Tinubu,APC,14265.0,68.86
Ekiti,Irepodun/Ifelodun,Atiku Abubakar,PDP,5516.0,26.63
Ekiti,Irepodun/Ifelodun,Peter Obi,LP,544.0,2.63
Ekiti,Irepodun/Ifelodun,Rabiu Kwankwaso,NNPP,24.0,0.12
Ekiti,Irepodun/Ifelodun,Other candidates,,368.0,1.78
Ekiti,Ise/Orun,Bola Tinubu,APC,11415.0,76.84
Ekiti,Ise/Orun,Atiku Abubakar,PDP,2734.0,18.4
Ekiti,Ise/Orun,Peter Obi,LP,497.0,3.34
Ekiti,Ise/Orun,Rabiu Kwankwaso,NNPP,10.0,0.07
Ekiti,Ise/Orun,Other candidates,,200.0,1.35
Ekiti,Moba,Bola Tinubu,APC,12046.0,66.06
Ekiti,Moba,Atiku Abubakar,PDP,5847.0,32.06
Ekiti,Moba,Peter Obi,LP,246.0,1.35
Ekiti,Moba,Rabiu Kwankwaso,NNPP,11.0,0.06
Ekiti,Moba,Other candidates,,85.0,0.47
Ekiti,Oye,Bola Tinubu,APC,14472.0,63.64
Ekiti,Oye,Atiku Abubakar,PDP,7143.0,31.41
Ekiti,Oye,Peter Obi,LP,643.0,2.83
Ekiti,Oye,Rabiu Kwankwaso,NNPP,20.0,0.09
Ekiti,Oye,Other candidates,,464.0,2.04
Lagos,Agege,Bola Tinubu,APC,29568.0,58.1
Lagos,Agege,Atiku Abubakar,PDP,4498.0,8.84
Lagos,Agege,Peter Obi,LP,13270.0,26.08
Lagos,Agege,Rabiu Kwankwaso,NNPP,1513.0,2.97
Lagos,Agege,Other candidates,,2043.0,4.01
Lagos,Ajeromi-Ifelodun,Bola Tinubu,APC,25938.0,37.82
Lagos,Ajeromi-Ifelodun,Atiku Abubakar,PDP,4680.0,6.82
Lagos,Ajeromi-Ifelodun,Peter Obi,LP,35663.0,51.99
Lagos,Ajeromi-Ifelodun,Rabiu Kwankwaso,NNPP,436.0,0.64
Lagos,Ajeromi-Ifelodun,Other candidates,,1873.0,2.73
Lagos,Alimosho,Bola Tinubu,APC,62909.0,42.54
Lagos,Alimosho,Atiku Abubakar,PDP,8201.0,5.55
Lagos,Alimosho,Peter Obi,LP,71327.0,48.24
Lagos,Alimosho,Rabiu Kwankwaso,NNPP,701.0,0.47
Lagos,Alimosho,Other candidates,,4732.0,3.2
Lagos,Amuwo-Odofin,Bola Tinubu,APC,13318.0,18.24
Lagos,Amuwo-Odofin,Atiku Abubakar,PDP,2383.0,3.26
Lagos,Amuwo-Odofin,Peter Obi,LP,55547.0,76.09
Lagos,Amuwo-Odofin,Rabiu Kwankwaso,NNPP,330.0,0.45
Lagos,Amuwo-Odofin,Other candidates,,1429.0,1.96
Lagos,Apapa,Bola Tinubu,APC,15471.0,56.86
Lagos,Apapa,Atiku Abubakar,PDP,2997.0,11.01
Lagos,Apapa,Peter Obi,LP,7566.0,27.8
Lagos,Apapa,Rabiu Kwankwaso,NNPP,338.0,1.24
Lagos,Apapa,Other candidates,,840.0,3.09
Lagos,Badagry,Bola Tinubu,APC,31903.0,63.03
Lagos,Badagry,Atiku Abubakar,PDP,6024.0,11.9
Lagos,Badagry,Peter Obi,LP,10956.0,21.64
Lagos,Badagry,Rabiu Kwankwaso,NNPP,153.0,0.3
Lagos,Badagry,Other candidates,,1582.0,3.13
Lagos,Epe,Bola Tinubu,APC,19867.0,67.98
Lagos,Epe,Atiku Abubakar,PDP,5221.0,17.87
Lagos,Epe,Peter Obi,LP,3497.0,11.97
Lagos,Epe,Rabiu Kwankwaso,NNPP,76.0,0.26
Lagos,Epe,Other candidates,,561.0,1.92
Lagos,Eti-Osa,Bola Tinubu,APC,15317.0,24.46
Lagos,Eti-Osa,Atiku Abubakar,PDP,3369.0,5.38
Lagos,Eti-Osa,Peter Obi,LP,42388.0,67.69
Lagos,Eti-Osa,Rabiu Kwankwaso,NNPP,381.0,0.61
Lagos,Eti-Osa,Other candidates,,1162.0,1.86
Lagos,Ibeju-Lekki,Bola Tinubu,APC,14685.0,51.88
Lagos,Ibeju-Lekki,Atiku Abubakar,PDP,2329.0,8.23
Lagos,Ibeju-Lekki,Peter Obi,LP,10410.0,36.78
Lagos,Ibeju-Lekki,Rabiu Kwankwaso,NNPP,104.0,0.37
Lagos,Ibeju-Lekki,Other candidates,,776.0,2.74
Lagos,Ifako-Ijaiye,Bola Tinubu,APC,14685.0,51.88
Lagos,Ifako-Ijaiye,Atiku Abubakar,PDP,2329.0,8.23
Lagos,Ifako-Ijaiye,Peter Obi,LP,10410.0,36.78
Lagos,Ifako-Ijaiye,Rabiu Kwankwaso,NNPP,104.0,0.37
Lagos,Ifako-Ijaiye,Other candidates,,776.0,2.74
Lagos,Ikeja,Bola Tinubu,APC,21276.0,38.64
Lagos,Ikeja,Atiku Abubakar,PDP,2280.0,4.14
Lagos,Ikeja,Peter Obi,LP,30004.0,54.49
Lagos,Ikeja,Rabiu Kwankwaso,NNPP,337.0,0.61
Lagos,Ikeja,Other candidates,,1165.0,2.12
Lagos,Ikorodu,Bola Tinubu,APC,50353.0,58.05
Lagos,Ikorodu,Atiku Abubakar,PDP,4508.0,5.2
Lagos,Ikorodu,Peter Obi,LP,28951.0,33.37
Lagos,Ikorodu,Rabiu Kwankwaso,NNPP,400.0,0.46
Lagos,Ikorodu,Other candidates,,2535.0,2.92
Lagos,Kosofe,Bola Tinubu,APC,36883.0,40.81
Lagos,Kosofe,Atiku Abubakar,PDP,4058.0,4.49
Lagos,Kosofe,Peter Obi,LP,46554.0,51.51
Lagos,Kosofe,Rabiu Kwankwaso,NNPP,902.0,1.0
Lagos,Kosofe,Other candidates,,1977.0,2.19
Lagos,Lagos Island,Bola Tinubu,APC,27760.0,81.92
Lagos,Lagos Island,Atiku Abubakar,PDP,2521.0,7.44
Lagos,Lagos Island,Peter Obi,LP,3058.0,9.03
Lagos,Lagos Island,Rabiu Kwankwaso,NNPP,79.0,0.23
Lagos,Lagos Island,Other candidates,,468.0,1.38
Lagos,Lagos Mainland,Bola Tinubu,APC,20030.0,46.43
Lagos,Lagos Mainland,Atiku Abubakar,PDP,3005.0,6.96
Lagos,Lagos Mainland,Peter Obi,LP,18698.0,43.34
Lagos,Lagos Mainland,Rabiu Kwankwaso,NNPP,257.0,0.6
Lagos,Lagos Mainland,Other candidates,,1153.0,2.67
Lagos,Mushin,Bola Tinubu,APC,41907.0,58.85
Lagos,Mushin,Atiku Abubakar,PDP,3478.0,4.88
Lagos,Mushin,Peter Obi,LP,23390.0,32.84
Lagos,Mushin,Rabiu Kwankwaso,NNPP,410.0,0.58
Lagos,Mushin,Other candidates,,2030.0,2.85
Lagos,Ojo,Bola Tinubu,APC,20603.0,31.61
Lagos,Ojo,Atiku Abubakar,PDP,3701.0,5.68
Lagos,Ojo,Peter Obi,LP,38859.0,59.63
Lagos,Ojo,Rabiu Kwankwaso,NNPP,462.0,0.71
Lagos,Ojo,Other candidates,,1543.0,2.37
Lagos,Oshodi-Isolo,Bola Tinubu,APC,27181.0,32.6
Lagos,Oshodi-Isolo,Atiku Abubakar,PDP,3139.0,3.76
Lagos,Oshodi-Isolo,Peter Obi,LP,51020.0,61.19
Lagos,Oshodi-Isolo,Rabiu Kwankwaso,NNPP,413.0,0.5
Lagos,Oshodi-Isolo,Other candidates,,1623.0,3.76
Lagos,Somolu,Bola Tinubu,APC,27879.0,44.96
Lagos,Somolu,Atiku Abubakar,PDP,3449.0,5.56
Lagos,Somolu,Peter Obi,LP,28936.0,46.67
Lagos,Somolu,Rabiu Kwankwaso,NNPP,476.0,0.77
Lagos,Somolu,Other candidates,,1263.0,2.04
Lagos,Surulere,Bola Tinubu,APC,39002.0,48.15
Lagos,Surulere,Atiku Abubakar,PDP,2651.0,3.27
Lagos,Surulere,Peter Obi,LP,36923.0,45.58
Lagos,Surulere,Rabiu Kwankwaso,NNPP,442.0,0.55
Lagos,Surulere,Other candidates,,1991.0,2.46
FCT,Abaji,Bola Tinubu,APC,10370.0,50.7
FCT,Abaji,Atiku Abubakar,PDP,6888.0,33.68
FCT,Abaji,Peter Obi,LP,2874.0,14.05
FCT,Abaji,Rabiu Kwankwaso,NNPP,104.0,0.51
FCT,Abaji,Other candidates,,216.0,1.06
FCT,Abuja,Bola Tinubu,APC,29596.0,12.7
FCT,Abuja,Atiku Abubakar,PDP,26407.0,11.33
FCT,Abuja,Peter Obi,LP,170392.0,73.12
FCT,Abuja,Rabiu Kwankwaso,NNPP,2463.0,1.06
FCT,Abuja,Other candidates,,4161.0,1.79
FCT,Bwari,Bola Tinubu,APC,13156.0,13.98
FCT,Bwari,Atiku Abubakar,PDP,10835.0,11.52
FCT,Bwari,Peter Obi,LP,67198.0,71.41
FCT,Bwari,Rabiu Kwankwaso,NNPP,877.0,0.93
FCT,Bwari,Other candidates,,2033.0,2.16
FCT,Gwagwalada,Bola Tinubu,APC,15890.0,32.98
FCT,Gwagwalada,Atiku Abubakar,PDP,10987.0,22.81
FCT,Gwagwalada,Peter Obi,LP,19694.0,40.87
FCT,Gwagwalada,Rabiu Kwankwaso,NNPP,483.0,1.0
FCT,Gwagwalada,Other candidates,,1128.0,2.34
FCT,Kuje,Bola Tinubu,APC,10648.0,29.69
FCT,Kuje,Atiku Abubakar,PDP,10028.0,27.96
FCT,Kuje,Peter Obi,LP,14257.0,39.76
FCT,Kuje,Rabiu Kwankwaso,NNPP,266.0,0.74
FCT,Kuje,Other candidates,,663.0,1.85
FCT,Kwali,Bola Tinubu,APC,11242.0,39.5
FCT,Kwali,Atiku Abubakar,PDP,9054.0,31.81
FCT,Kwali,Peter Obi,LP,7302.0,25.65
FCT,Kwali,Rabiu Kwankwaso,NNPP,324.0,1.14
FCT,Kwali,Other candidates,,542.0,1.9
