state,lga,candidate,party,votes,percent
Adamawa,Girei,Ahmadu Umaru Fintiri,PDP,6938.0,
Adamawa,Girei,Bindo Jibrilla,APC,15171.0,
Adamawa,Yola South,Ahmadu Umaru Fintiri,PDP,18257.0,
Adamawa,Yola South,Bindo Jibrilla,APC,22129.0,
Adamawa,Song,Ahmadu Umaru Fintiri,PDP,25151.0,
Adamawa,Song,Bindo Jibrilla,APC,17845.0,
Adamawa,Lamurde,Ahmadu Umaru Fintiri,PDP,20138.0,
Adamawa,Lamurde,Bindo Jibrilla,APC,10182.0,
Adamawa,Fufore,Ahmadu Umaru Fintiri,PDP,17529.0,
Adamawa,Fufore,Bindo Jibrilla,APC,21972.0,
Adamawa,Hong,Ahmadu Umaru Fintiri,PDP,26556.0,
Adamawa,Hong,Bindo Jibrilla,APC,21407.0,
Adamawa,Shelleng,Ahmadu Umaru Fintiri,PDP,11377.0,
Adamawa,Shelleng,Bindo Jibrilla,APC,15944.0,
Adamawa,Ganye,Ahmadu Umaru Fintiri,PDP,17993.0,
Adamawa,Ganye,Bindo Jibrilla,APC,19151.0,
Adamawa,Guyuk,Ahmadu Umaru Fintiri,PDP,19022.0,
Adamawa,Guyuk,Bindo Jibrilla,APC,12504.0,
Adamawa,Toungo,Ahmadu Umaru Fintiri,PDP,6018.0,
Adamawa,Toungo,Bindo Jibrilla,APC,6564.0,
Adamawa,Michika,Ahmadu Umaru Fintiri,PDP,25617.0,
Adamawa,Michika,Bindo Jibrilla,APC,13511.0,
Adamawa,Madagali,Ahmadu Umaru Fintiri,PDP,17660.0,
Adamawa,Madagali,Bindo Jibrilla,APC,9365.0,
Adamawa,Numan,Ahmadu Umaru Fintiri,PDP,21922.0,
Adamawa,Numan,Bindo Jibrilla,APC,11642.0,
Adamawa,Mubi North,Ahmadu Umaru Fintiri,PDP,17567.0,
Adamawa,Mubi North,Bindo Jibrilla,APC,31805.0,
Adamawa,Mayo Belwa,Ahmadu Umaru Fintiri,PDP,19897.0,
Adamawa,Mayo Belwa,Bindo Jibrilla,APC,14198.0,
Adamawa,Yola North,Ahmadu Umaru Fintiri,PDP,24383.0,
Adamawa,Yola North,Bindo Jibrilla,APC,20979.0,
Adamawa,Mubi South,Ahmadu Umaru Fintiri,PDP,10420.0,
Adamawa,Mubi South,Bindo Jibrilla,APC,19825.0,
Adamawa,Maiha,Ahmadu Umaru Fintiri,PDP,8745.0,
Adamawa,Maiha,Bindo Jibrilla,APC,14939.0,
Adamawa,Jada,Ahmadu Umaru Fintiri,PDP,20076.0,
Adamawa,Jada,Bindo Jibrilla,APC,18006.0,
Adamawa,Demsa,Ahmadu Umaru Fintiri,PDP,22037.0,
Adamawa,Demsa,Bindo Jibrilla,APC,10342.0,
Adamawa,Gombi,Ahmadu Umaru Fintiri,PDP,12968.0,
Adamawa,Gombi,Bindo Jibrilla,APC,9347.0,
Akwa Ibom,Esit Eket,Udom Gabriel Emmanuel,PDP,13406.0,
Akwa Ibom,Esit Eket,Nsima Ekere,APC,3917.0,
Akwa Ibom,Ibeno,Udom Gabriel Emmanuel,PDP,10008.0,
Akwa Ibom,Ibeno,Nsima Ekere,APC,1442.0,
Akwa Ibom,Urue-Offong/Oruko,Udom Gabriel Emmanuel,PDP,6915.0,
Akwa Ibom,Urue-Offong/Oruko,Nsima Ekere,APC,4592.0,
Akwa Ibom,"Okobo, Akwa Ibom",Udom Gabriel Emmanuel,PDP,10800.0,
Akwa Ibom,"Okobo, Akwa Ibom",Nsima Ekere,APC,6079.0,
Akwa Ibom,Nsit-Ubium,Udom Gabriel Emmanuel,PDP,17863.0,
Akwa Ibom,Nsit-Ubium,Nsima Ekere,APC,6004.0,
Akwa Ibom,Onna,Udom Gabriel Emmanuel,PDP,32103.0,
Akwa Ibom,Onna,Nsima Ekere,APC,2110.0,
Akwa Ibom,Uruan,Udom Gabriel Emmanuel,PDP,12895.0,
Akwa Ibom,Uruan,Nsima Ekere,APC,5192.0,
Akwa Ibom,Nsit-Atai,Udom Gabriel Emmanuel,PDP,8855.0,
Akwa Ibom,Nsit-Atai,Nsima Ekere,APC,3783.0,
Akwa Ibom,Ikot-Abasi,Udom Gabriel Emmanuel,PDP,9335.0,
Akwa Ibom,Ikot-Abasi,Nsima Ekere,APC,7549.0,
Akwa Ibom,Obot-Akara,Udom Gabriel Emmanuel,PDP,13979.0,
Akwa Ibom,Obot-Akara,Nsima Ekere,APC,4704.0,
Akwa Ibom,Uyo,Udom Gabriel Emmanuel,PDP,35092.0,
Akwa Ibom,Abak,Udom Gabriel Emmanuel,PDP,17461.0,
Akwa Ibom,Abak,Nsima Ekere,APC,11505.0,
Akwa Ibom,"Ini, Akwa Ibom",Udom Gabriel Emmanuel,PDP,17335.0,
Akwa Ibom,"Ini, Akwa Ibom",Nsima Ekere,APC,3316.0,
Akwa Ibom,Nsit-Ibom,Udom Gabriel Emmanuel,PDP,17326.0,
Akwa Ibom,Nsit-Ibom,Nsima Ekere,APC,4816.0,
Akwa Ibom,"Mbo, Akwa Ibom",Udom Gabriel Emmanuel,PDP,9631.0,
