state,candidate,party,votes,percent,source
Lagos,Jimi Agbaje,PDP,206141.0,21.09,results_table
Lagos,Babatunde Gbadamosi,ADP,4780.0,0.49,results_table
Lagos,Joseph Beckley,A,4122.0,0.42,results_table
Lagos,Olumuyiwa Fafowora,ADC,3544.0,0.36,results_table
Lagos,Princess Adebisi Ogunsanya,YPP,1604.0,0.16,results_table
Nasarawa,Abdullahi Sule,All Progressives Congress,327229.0,48.78,results_table
Nasarawa,David Ombugadu,People's Democratic Party,184281.0,27.47,results_table
Nasarawa,Labaran Maku,All Progressives Grand Alliance,132784.0,19.79,results_table
Nasarawa,Ibio Umar Aliyu Doma,Zenith Labour Party,13307.0,1.98,results_table
Nasarawa,Ishaq Ahmed Kana,Social Democratic Party,7442.0,1.11,results_table
Nasarawa,Suleiman Umaru Ajaja,Action Democratic Party,1355.0,0.2,results_table
Nasarawa,Zaggi Rabo Zakka,African Democratic Congress,1319.0,0.2,results_table
Nasarawa,Mustapha Momammed Alfa,Allied Peoples Movement,773.0,0.12,results_table
Nasarawa,Tanko Malam,Progressive Peoples Alliance,679.0,0.1,results_table
Nasarawa,Animiku Anthony Kukumah,All Grassroots Alliance,526.0,0.08,results_table
Nasarawa,Aliyu Danjuma Dogara,Nigeria For Democracy,258.0,0.04,results_table
Nasarawa,Mohammed Ahmadu Adamu,Peoples Party Of Nigeria,186.0,0.03,results_table
Nasarawa,Ombugadu Victor,Advanced Congress of Democrats,97.0,0.01,results_table
Nasarawa,Sale Yahaya Alaji,Providence Peoples Congress,85.0,0.01,results_table
Nasarawa,Anjugu Abimku Moses,Justice Must Prevail Party,82.0,0.01,results_table
Nasarawa,Haruna Iliyasu Shauaibu,Independent Democrats,79.0,0.01,results_table
Nasarawa,Matthew Avre Ombugaku,Re-Build Nigeria,72.0,0.01,results_table
Nasarawa,Mohammed Awwal Suleiman,KOWA Party,49.0,0.01,results_table
Nasarawa,Nyam Mark Maida,People's Trust,46.0,0.01,results_table
Nasarawa,Ismalia Taofiq,Democratic People's Congress,38.0,0.01,results_table
Nasarawa,Peter Helen,Masses Movement of Nigeria,38.0,0.01,results_table
Nasarawa,Bako Ahmed,Non-constituency Member of Parliament,33.0,0.0,results_table
Nasarawa,Kreni Danju Mantani,Young Progressives Party,33.0,0.0,results_table
Nasarawa,Aba Joseph R.,Alliance of Social Democrats,28.0,0.0,results_table
Nasarawa,Theohius Gyado Madaki,Change Advocacy Party,16.0,0.0,results_table
Nasarawa,Mohammed Nazir Adamu,Green Party of Nigeria,12.0,0.0,results_table
Nasarawa,Cerrone Solo Waziri,Mass Action Joint Alliance Party,12.0,0.0,results_table
Nasarawa,Sale Yahaya Alaji,People's Redemption Party,12.0,0.0,results_table
Nasarawa,Khalid Shuaibu Mairiga,Democratic Alternative,7.0,0.0,results_table
Niger,Abubakar Sani Bello,All Progressives Congress,526412.0,58.43,results_table
Niger,Umar Nasko,People's Democratic Party,298065.0,33.09,results_table
Niger,Other candidates,,76394.0,8.48,results_table
Ogun,Dapo Abiodun,APC,241670.0,35.49,results_table
Ogun,Adekunle Akinlade,Allied Peoples Movement,222153.0,32.62,results_table
Ogun,Gboyega Nasir Isiaka,African Democratic Congress,110422.0,16.22,results_table
Ogun,Buruji Kashamu,People's Democratic Party,70290.0,10.32,results_table
Ogun,Dimeji Bankole,Action Democratic Party,9666.0,1.42,results_table
Oyo,Seyi Makinde,People's Democratic Party,515621.0,56.24,results_table
Oyo,Adebayo Adelabu,All Progressives Congress,357982.0,39.04,results_table
Oyo,Olufemi Lanlehin,African Democratic Congress,12375.0,1.35,results_table
Oyo,Christopher Alao-Akala,Action Democratic Party,8664.0,0.94,results_table
Oyo,Sarafadeen Abiodun Alli,Zenith Labour Party,3650.0,0.4,results_table
Oyo,Akinde Akin S,People For Democratic Change,1759.0,0.19,results_table
Oyo,Saheed Adegboyega Ajadi,Accord,1514.0,0.17,results_table
Oyo,Alao Oyedeleh Oyebode,Alliance for Democracy,1425.0,0.16,results_table
Oyo,Omobosola Owolabi Golohor,Democratic People's Party,1401.0,0.15,results_table
Oyo,Rotimi Akande,United Progressive Party,1064.0,0.12,results_table
Oyo,Taiwo Obiyemi Otegbeye,Providence People's Congress,1025.0,0.11,results_table
Oyo,Tolulope Adeyeye Adedoyin,African People Alliance,1007.0,0.11,results_table
Oyo,Akinboye Tijani Ismaila,Hope Democratic Party,926.0,0.1,results_table
Oyo,Akinwale Babatunde Laosun,African Action Congress,814.0,0.09,results_table
Oyo,Akande Taiwo Risikat,Advanced Congress of Democrats,780.0,0.09,results_table
Oyo,Olalekan Oladotun Ayorinde,Abundant Nigeria Renewal Party,663.0,0.07,results_table
Oyo,Mobolaji Ayorinde,Social Democratic Party,660.0,0.07,results_table
Oyo,Ojo Olayinka Kayode,Mega Party of Nigeria,602.0,0.07,results_table
Oyo,Victor-Tade Adenike Morenike,Advanced Allied Party,574.0,0.06,results_table
Oyo,David Oluwafemi Okunlola,All Grassroots Alliance,564.0,0.06,results_table
Oyo,Sarumi-Aliyu Ashabi Bolanle,National Interest Party,382.0,0.04,results_table
Oyo,Olatunji Adigun Sadiq,Labour Party,336.0,0.04,results_table
Oyo,Yinusa Kazeem Ayandoye,National Rescue Movement,316.0,0.03,results_table
Oyo,Ayoade Belawu Adebola,Nigeria Elements Progressive Party,267.0,0.03,results_table
Oyo,Gbadamosi Basiru Alagbe,People's Party of Nigeria,243.0,0.03,results_table
Oyo,Babarinde Oye Ademola,Democratic People's Congress,230.0,0.03,results_table
Oyo,Edward Olufeyisanyo Ladoye,New Progressive Movement,206.0,0.02,results_table
Oyo,Oladdunni Ariyo Olaitan,Better Nigeria Progressive Party,205.0,0.02,results_table
Oyo,Adegboyega A. Adeeu,Democratic Alternative,192.0,0.02,results_table
Oyo,Okemakinde Ramota Fumilayo,All Blended Party,182.0,0.02,results_table
Oyo,Olabode Ayodele Johnson,Alliance for New Nigeria,169.0,0.02,results_table
Oyo,Oladapo Wasiu Atilola,Independent Democrats,153.0,0.02,results_table
Oyo,Oluwole Ladipo,Grassroots Development Party Of Nigeria,152.0,0.02,results_table
Oyo,Oloyade Ayobami Michael,National Conscience Party,135.0,0.01,results_table
Oyo,Bamigboye Abiodun E.,Socialist Party of Nigeria,114.0,0.01,results_table
Oyo,Mogaji Mashood Odelalu,National Action Council,98.0,0.01,results_table
Oyo,Omotosho Paul Adeboye,Coalition for Change,96.0,0.01,results_table
Oyo,Aderoju Ismail Balogun,Mass Action Joint Alliance,75.0,0.01,results_table
Oyo,Awolusi Olusegun Gaskin,Save Nigeria Congress,75.0,0.01,results_table
Oyo,Paul Oluseye Smith,Justice Must Prevail Party,72.0,0.01,results_table
Oyo,Mayoress Abiodun Olayinka O,Change Advocacy Party,46.0,0.01,results_table
Oyo,Olaide Olayinola,KOWA Party,46.0,0.01,results_table
Plateau,Simon Lalong,All Progressives Congress,595582.0,51.35,results_table
Plateau,Jerry Useni,People's Democratic Party,546813.0,47.14,results_table
Plateau,Other candidates,,17559.0,1.51,results_table
Rivers,Ezenwo Nyesom Wike,PDP,,,infobox
Rivers,Biokpomabo Awara,AAC,,,infobox
Rivers,,,,,infobox
Sokoto,Aminu Tambuwal,All Progressives Congress,512002.0,49.41,results_table
Sokoto,Ahmad Aliyu,People's Democratic Party,511660.0,49.37,results_table
Sokoto,Other candidates,,12674.0,1.22,results_table
Taraba,Darius Dickson Ishaku,People's Democratic Party (PDP),520433.0,57.21,results_table
Taraba,Sani Abubakar Danladi,All Progressives Congress (APC),362735.0,39.87,results_table
Taraba,Aisha Jummai Alhassan,United Democratic Party (UDP),16289.0,1.79,results_table
Taraba,Adamu Danbako Ibrahim,All Progressives Grand Alliance (APGA),4098.0,0.45,results_table
Taraba,Musa Bah Kanawa,Young Democratic Party (YDP),1208.0,0.13,results_table
Taraba,Stephen Bishi,Social Democratic Party (SDP),743.0,0.08,results_table
Taraba,Danjuma Umaru,National Rescue Movement (NRM),730.0,0.08,results_table
Taraba,Sani Saidi,All Grassroots Alliance (AGA),594.0,0.07,results_table
Taraba,Bello Mohammed,Progressive Peoples Alliance (PPA),564.0,0.06,results_table
Taraba,Kwaghkar Julius Mberga,Action Alliance (AA),471.0,0.05,results_table
Taraba,Faruk Alhaji Muhammed,Democratic People's Party (DPP),265.0,0.03,results_table
Taraba,Ahmadu Umaru Salim,Young Progressive Party (YPP),249.0,0.03,results_table
Taraba,Kefas Sule,ABP,194.0,0.02,results_table
Taraba,Ibrahim Manzo Mohammed,African Democratic Congress (ADC),168.0,0.02,results_table
Taraba,Ahmed Bala Gassol,People's Party of Nigeria (PPN),153.0,0.02,results_table
Taraba,Japhet Magdalene Tobbi,National Action Council (NAC),91.0,0.01,results_table
Taraba,Banti Henry Haniel,Action People's Party (APP),89.0,0.01,results_table
Taraba,Umar Abubakar,Advanced Congress of Democrats (ACD),85.0,0.01,results_table
Taraba,Dahiru Yunusa Shagarda,Accord (A),77.0,0.01,results_table
Taraba,Ahmad Murtala Isah,National Democratic Liberty Party (NDLP),77.0,0.01,results_table
Taraba,Bala Kabiru,Allied Congress Party of Nigeria (ACPN),69.0,0.01,results_table
Taraba,Phillip Soje Shin,Mega Party of Nigeria (MPN),69.0,0.01,results_table
Taraba,Bagarmi Kamaludeen Muhammed Soje,Movement for the Restoration and Defence of Democracy (MRDD),49.0,0.01,results_table
Taraba,Issa Musa,Zenith Labour Party (ZLP),45.0,0.0,results_table
Taraba,Bala Danlami Adi,Labour Party (LP),44.0,0.0,results_table
Taraba,Paul Jamasuru Tankwa,Mass Action Joint Alliance (MAJA),37.0,0.0,results_table
Taraba,Bello A. Ahmed,Democratic Alternative (DA),32.0,0.0,results_table
Taraba,Utsumiu-Nyen Akin Ishaya Missa,Change Advocacy Party (CAP),21.0,0.0,results_table
Taraba,Abdullahi Rabsanjani,Grassroots Development Party of Nigeria (GDPN),20.0,0.0,results_table
Taraba,Sanusi A. T. Hamza,Freedom and Justice Party (FJP),17.0,0.0,results_table
Yobe,Mai Mala Buni,All Progressives Congress,444013.0,81.26,results_table
Yobe,Umar Iliya Damagum,People's Democratic Party,95703.0,17.52,results_table
Yobe,Other candidates,,6675.0,1.22,results_table
Zamfara,Mukhtar Shehu Idris,All Progressives Congress (APC),534541.0,67.41,results_table
Zamfara,Bello Matawalle,People's Democratic Party (PDP),189452.0,23.89,results_table
Zamfara,Bala Bello Maru,Accord (A),43691.0,5.51,results_table
Zamfara,Saidu Mohammed Dansadau,National Rescue Movement (NRM),15177.0,1.91,results_table
Zamfara,Sani Abdullahi Shinkafi,All Progressives Grand Alliance (APGA),3865.0,0.49,results_table
Zamfara,Takori Mohammed Sani,Advanced Peoples Democratic Alliance (APDA),807.0,0.1,results_table
Zamfara,Sule Garba,Progressive Peoples Alliance (PPA),695.0,0.09,results_table
Zamfara,Bashir Yusuf Sani,All Grand Alliance Party (AGAP),577.0,0.07,results_table
Zamfara,Iliyasu Sulaiman,Democratic Alternative (DA),546.0,0.07,results_table
Zamfara,Haruna Aminu,Advanced Congress of Democrats (ACD),402.0,0.05,results_table
Zamfara,Badamasi Bello,African Democratic Congress (ADC),344.0,0.04,results_table
Zamfara,Umar Mande,Masses Movement of Nigeria (MMN),292.0,0.04,results_table
Zamfara,Aminu Mainasara,Democratic People's Party (DPP),263.0,0.03,results_table
Zamfara,Zayyanu Salisu (Haske),All People's Party (APP),191.0,0.02,results_table
Zamfara,Bashiru Adamu Gusau,People's Party of Nigeria (PPN),168.0,0.02,results_table
Zamfara,Shehu Mus Maigoroa,Mega Party of Nigeria (MPN),163.0,0.02,results_table
Zamfara,Yusuf Mustapha,All Blending Party (ABP),135.0,0.02,results_table
Zamfara,Sani Yusuf,Green Party of Nigeria (GPN),127.0,0.02,results_table
Zamfara,Garba Ali,Better Nigeria Progressive Party (BNPP),119.0,0.02,results_table
Zamfara,Kabiru Yahaya Mohammed,Social Democratic Party (SDP),108.0,0.01,results_table
Zamfara,Musa Yahaya,Young Progressive Party (YPP),103.0,0.01,results_table
Zamfara,Bala Aliyu Gusau,People's Redemption Party (PRP),102.0,0.01,results_table
Zamfara,Abulmajid Shehu,Action Democratic Party (ADP),100.0,0.01,results_table
Zamfara,Kamilu Musa,Alliance for Democracy (AD),99.0,0.01,results_table
Zamfara,Abala Debora,Sustainable National Party (SNP),88.0,0.01,results_table
Zamfara,Muhammed Nura,Coalition for Change (C4C),87.0,0.01,results_table
Zamfara,Kabiru Iliyasu A. Gusau,Democratic People's Congress (DPC),77.0,0.01,results_table
Zamfara,Dadi Abdullahi O.,People for Democratic Change (PDC),70.0,0.01,results_table
Zamfara,Lawali Ibrahim,Allied Congress Party of Nigeria (ACPN),63.0,0.01,results_table
Zamfara,Mustapha Muhammed,Re-build Nigeria Party (RBNP),57.0,0.01,results_table
Zamfara,Umar Sani,Nigeria Elements Progressive Party (NEPP),48.0,0.01,results_table
Zamfara,Aminu Ab Muazu,United Progressive Party (UPP),43.0,0.01,results_table
Zamfara,Dahiru Aliyu Gusau,Change Advocacy Party (CAP),42.0,0.01,results_table
Zamfara,Sani Umar,Restoration Party of Nigeria (RP),41.0,0.01,results_table
Zamfara,Abba Sani A.,Unity Party of Nigeria (UPN),41.0,0.01,results_table
Zamfara,Sani Abdullahi,Labour Party (LP),38.0,0.0,results_table
Zamfara,Mohammed Bala,National Conscience Party (NCP),38.0,0.0,results_table
Zamfara,Kucheri Shehu Hussaini,Hope Democratic Party (HDP),36.0,0.0,results_table
Zamfara,Hamisu Yahuza,Justice Must Prevail Party (JMPP),34.0,0.0,results_table
Zamfara,Kabiru Garbba,Nigeria Community Movement Party (NCMP),28.0,0.0,results_table
Zamfara,Usman Hadiza Usman,Zenith Labour Party (ZLP),25.0,0.0,results_table
Zamfara,Mansur Saleh Maigwanjo,We The People Nigeria (WTPN),15.0,0.0,results_table
