state,candidate,party,votes,percent,source
Delta,Akwara John Ogheneovo,Social Democratic Party (SDP),1136.0,0.1,results_table
Delta,Ashikodi David,Accord (A),1027.0,0.09,results_table
Delta,Mohammed Oluremi Jane Batsone,People for Democratic Change (PDC),1001.0,0.09,results_table
Delta,Frank Ufuoma Esanobi,African Action Congress (AAC),914.0,0.08,results_table
Delta,Obire Odiakpo Justine,Progressive Peoples Alliance (PPA),549.0,0.05,results_table
Delta,Odibo Golly Hannah Atata,Advanced Congress of Democrats (ACD),429.0,0.04,results_table
Delta,Edward Okiya,Labour Party (LP),411.0,0.04,results_table
Delta,Onikiti Helen,Advanced Peoples Democratic Alliance (APDA),331.0,0.03,results_table
Delta,Ajaguogbadim Joshua Patrick Chidinma,United Progressive Party (UPP),321.0,0.03,results_table
Delta,Augustine Chukwuemeka Obi,Re-build Nigeria Party (RBNP),294.0,0.03,results_table
Delta,Gabriel Mamuzo,Nigeria People's Congress (NPC),284.0,0.02,results_table
Delta,Brando Omu,All Grand Alliance Party (AGAP),275.0,0.02,results_table
Delta,Monu-Olarewaju Theodora Chime,Advanced Allied Party (AAP),258.0,0.02,results_table
Delta,Michael Egoh,Action Democratic Party (ADP),228.0,0.02,results_table
Delta,Ejumedia Prince Sunny,Hope Democratic Party (HDP),224.0,0.02,results_table
Delta,Illoh Awele Onyisi,Mega Party of Nigeria (MPN),183.0,0.02,results_table
Delta,Enwose Williams B. N.,Freedom and Justice Party (FJP),180.0,0.02,results_table
Delta,Isamade Paul,Allied Congress Party of Nigeria (ACPN),162.0,0.01,results_table
Delta,Victor Egwuenu,People's Party of Nigeria (PPN),134.0,0.01,results_table
Delta,Godwin Mojume Asikawali,Justice Must Prevail Party (JMPP),115.0,0.01,results_table
Delta,America Emmanuel Ogheneochuko,National Rescue Movement (NRM),110.0,0.01,results_table
Delta,Gordson Korogha Enhubareh,National Conscience Party (NCP),100.0,0.01,results_table
Delta,Bidokwu Emeka,Action Alliance (AA),98.0,0.01,results_table
Delta,Cosmos Annabel,Association for Better Nigeria (ABN),92.0,0.01,results_table
Delta,Umudjane Sylvester Omonigho,Better Nigeria Progressive Party (BNPP),95.0,0.01,results_table
Delta,Lucky Dikadi,People's Redemption Party (PRP),83.0,0.01,results_table
Delta,Amaye John Oghenemohwo,Allied Peoples Movement (APM),70.0,0.01,results_table
Delta,Ossai Edward Olie,Grassroots Development Party of Nigeria (GDPN),61.0,0.01,results_table
Delta,Ejiro Odu Tolbert,National Interest Party (NIP),59.0,0.01,results_table
Delta,Friday Udumebraye Togbe,Sustainable National Party (SNP),51.0,0.0,results_table
Delta,Jean Chiazor Anishere,People's Trust (PT),49.0,0.0,results_table
Delta,Olotu Stanley Omohwo,Reformed Advanced Party (RAP),46.0,0.0,results_table
Delta,Efetoboh Patricia,National Action Council (NAC),41.0,0.0,results_table
Delta,Iselegwu Clement,Restoration Party of Nigeria (RP),39.0,0.0,results_table
Delta,Nkwoala Emeka Mathias,Zenith Labour Party (ZLP),38.0,0.0,results_table
Delta,Obiodogwu Augustine,Democratic Alternative (DA),33.0,0.0,results_table
Delta,Okolugbo Gloria,Change Advocacy Party (CAP),30.0,0.0,results_table
Delta,Anthony Mejebi Clarke,Green Party of Nigeria (GPN),29.0,0.0,results_table
Delta,Edozien Leroy Chuma,Alliance of Social Democrats (ASD),25.0,0.0,results_table
Delta,Anyiraodiakaose Nelly,Nigeria Community Movement Party (NCMP),25.0,0.0,results_table
Delta,Enuakpoje Peters Erho,Independent Democrats (ID),31.0,0.0,results_table
Delta,Oghotevwo Lucky Oyovwi,Movement for the Restoration and Defence of Democracy (MRDD),25.0,0.0,results_table
Delta,Atagbuzia Chibueze Sixtus,Kowa Party (KP),22.0,0.0,results_table
Delta,Endurance Udubrai Eddy,National Democratic Liberty Party (NDLP),21.0,0.0,results_table
Delta,Okotcha Odinma Eric,Mass Action Joint Alliance (MAJA),15.0,0.0,results_table
Delta,Obichie David Egwebuike,Nigeria for Democracy (NFD),15.0,0.0,results_table
Ebonyi,Dave Umahi,People's Democratic Party,393043.0,81.54,results_table
Ebonyi,Sonni Ogbuoji,All Progressives Congress,81703.0,16.95,results_table
Ebonyi,Other candidates,,7272.0,1.51,results_table
Enugu,Ifeanyi Ugwuanyi,Peoples Democratic Party,449935.0,95.54,results_table
Enugu,Ayogu Eze,All Progressives Congress,10423.0,2.21,results_table
Enugu,Nwankpa Emmanuel Benedict Ebelechukwu,APGA,2547.0,0.54,results_table
Enugu,Ozoemena Donatus Madubuike,UDP,1648.0,0.35,results_table
Enugu,Peter Onwurah Aniagboso,SDP,1476.0,0.31,results_table
Enugu,Uzodinmma Ekene Andrew,UPP,854.0,0.18,results_table
Enugu,Eze Cajetan,ADC,581.0,0.12,results_table
Enugu,Egbo Emmanuel Maduka,APA,554.0,0.12,results_table
Enugu,Onyeka Chinedu,NUP,463.0,0.1,results_table
Enugu,Owoh Celestine Chukwudi,PPC,271.0,0.06,results_table
Enugu,Chidi Cadet Nwanyanwu,AAC,260.0,0.06,results_table
Enugu,Okolo Louis Ugwu,ID,194.0,0.04,results_table
Enugu,Nnaji Victor Ifeanyi,ADP,175.0,0.04,results_table
Enugu,Nnamani Obioma N,PPN,174.0,0.04,results_table
Enugu,Anozie Nnenna Mary,FRESH,156.0,0.03,results_table
Enugu,Ugwuanyi Celestina Anita,NRM,145.0,0.03,results_table
Enugu,Chinedu Anuche,KP,93.0,0.02,results_table
Enugu,Prince Onyishi Sunday Chukwuemeka,NNPP,83.0,0.02,results_table
Enugu,Okechukwu Slyvanus,AGA,76.0,0.02,results_table
Enugu,Nweze Hyacinth,RBNP,75.0,0.02,results_table
Enugu,Anthonia Nwobodo Nneka,ACD,62.0,0.01,results_table
Enugu,Gerald Abonyi (Esq),LP,61.0,0.01,results_table
Enugu,Ani Afamefuna Samuel,GPN,59.0,0.01,results_table
Enugu,Ogbonna Joshua Jekwu,ANP,57.0,0.01,results_table
Enugu,Ifeoma Nnoli-udeze,MPN,54.0,0.01,results_table
Enugu,Ozoemene Maureen Onwunta,NIP,53.0,0.01,results_table
Enugu,Chibueze Francis Onah,SNP,53.0,0.01,results_table
Enugu,Okonkwo Chigozie Augustine,NEPP,48.0,0.01,results_table
Enugu,Ifeadigo Ben Ani,ZLP,37.0,0.01,results_table
Enugu,Ugwu Martins Chiesozib,JMPP,36.0,0.01,results_table
Enugu,Franklin Emeka Ugwu,ANDP,33.0,0.01,results_table
Enugu,Adjai Robinson Chukwuemeka,CC,30.0,0.01,results_table
Enugu,Chukwuka Ibekwe Carley,GDPN,30.0,0.01,results_table
Enugu,Eneani Akachukwu Henry,APP,26.0,0.01,results_table
Enugu,Egbo Alex Chibuzo,ASD,22.0,0.0,results_table
Enugu,Amadi Eusebius Tochukwu,DA,22.0,0.0,results_table
Enugu,Christopher Ogbu,DPC,21.0,0.0,results_table
Enugu,Osita Agu,MMN,10.0,0.0,results_table
Enugu,Odumejemba Chinonyelum Vicgeaial,NCP,10.0,0.0,results_table
Enugu,Edwin Egbuaba Ngene,MRDD,7.0,0.0,results_table
Enugu,Orji Jide Abraham,NAC,7.0,0.0,results_table
Enugu,Ugwu John Chukwuweike,CAP,6.0,0.0,results_table
Gombe,Muhammad Inuwa Yahaya,All Progressives Congress,364179.0,26.12,results_table
Gombe,Usman Bayero Nafada,People's Democratic Party,222868.0,15.98,results_table
Gombe,Other candidates,,807339.0,57.9,results_table
Imo,Emeka Ihedioha,People's Democratic Party (PDP),273404.0,38.29,results_table
Imo,Uche Nwosu,Action Alliance (AA),190364.0,26.66,results_table
Imo,Ifeanyi Godwin Araraume,All Progressives Grand Alliance (APGA),114676.0,16.06,results_table
