state,candidate,party,votes,percent,source
Abia,Emeka Michael Nwankpa,A,1528.0,0.41,results_table
Abia,Wilson Kalu Akuma,AA,474.0,0.13,results_table
Abia,Bond Ohuche,AAC,298.0,0.08,results_table
Abia,Sunday Onuoha,ADC,2529.0,0.7,results_table
Abia,Chibuike Jonas,ADP,601.0,0.16,results_table
Abia,Ikechi Emenike,APC,24091.0,6.72,results_table
Abia,Anyim Uguru Chikezie,APM,572.0,0.15,results_table
Abia,Mascot Kalu,APP,11728.0,3.3,results_table
Abia,Gregory Ibe,APGA,18119.0,5.05,results_table
Abia,Lucky Achinihu Ekeji,BP,1141.0,0.31,results_table
Abia,Alex Otti,LP,175467.0,48.94,results_table
Abia,Ukpai Iro Ukpai,New Nigeria Peoples Party,2068.0,0.57,results_table
Abia,Ijeoma Kalu,NRM,472.0,0.13,results_table
Abia,Okey Ahiwe,PDP,88529.0,24.69,results_table
Abia,Nnenna Ngwa'Mma Lancaster-Okoro,PRP,168.0,0.04,results_table
Abia,Gladys Ikonnaya Ngozi Johnson-Ogbuneke,SDP,773.0,0.21,results_table
Abia,Enyinnaya Nwafor,YPP,28972.0,8.08,results_table
Abia,Prince Chibunna Onukwu,ZLP,1011.0,0.28,results_table
Adamawa,Ahmadu Umaru Fintiri,PDP,,50.46,infobox
Adamawa,Aishatu Dahiru Ahmed,APC,,46.71,infobox
Adamawa,,,,,infobox
Akwa Ibom,Umo Eno,PDP,,55.02,infobox
Akwa Ibom,Bassey Albert Akpan,YPP,,21.16,infobox
Akwa Ibom,Akanimo Udofia,APC,,20.12,infobox
Bauchi,Sadique Abubakar,APC,432272.0,41.79,breakdown_total_row
Bauchi,Halliru Dauda Jika,NNPP,60496.0,5.85,breakdown_total_row
Bauchi,Bala Mohammed,PDP,525280.0,50.78,breakdown_total_row
Bauchi,Other candidates,,16331.0,1.58,breakdown_total_row
Bayelsa,Timipre Sylva,APC,110108.0,60.93,breakdown_total_row
Bayelsa,Douye Diri,PDP,175196.0,38.29,breakdown_total_row
Bayelsa,Other candidates,,2250.0,0.78,breakdown_total_row
Benue,Hyacinth Alia,APC,473933.0,62.61,breakdown_total_row
Benue,Herman Hembe,LP,41881.0,5.53,breakdown_total_row
Benue,Titus Uba,PDP,223913.0,29.58,breakdown_total_row
Benue,Other candidates,,17176.0,2.28,breakdown_total_row
Borno,Babagana Umara Zulum,APC,,86.1,infobox
Borno,Mohammed Ali Jajari,PDP,,12.96,infobox
Borno,,,,,infobox
Cross River,Bassey Otu,APC,258619.0,57.23,breakdown_total_row
Cross River,Sandy Ojang Onor,PDP,179636.0,39.75,breakdown_total_row
Cross River,Other candidates,,13678.0,3.03,breakdown_total_row
Delta,Ovie Omo-Agege,APC,240229.0,35.76,breakdown_total_row
Delta,Ken Pela,LP,48027.0,7.15,breakdown_total_row
Delta,Sheriff Oborevwori,PDP,360234.0,53.63,breakdown_total_row
