state,candidate,party,votes,percent,source
Bayelsa,Rabiu Kwankwaso,NNPP,540.0,0.33,breakdown_total_row
Bayelsa,Other candidates,,3420.0,2.07,breakdown_total_row
Benue,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Benue,Atiku Abubakar,PDP,,,infobox
Benue,,,,,infobox
Borno,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Borno,Atiku Abubakar,PDP,,,infobox
Borno,,,,,infobox
Cross River,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Cross River,Atiku Abubakar,PDP,,,infobox
Cross River,,,,,infobox
Delta,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Delta,Atiku Abubakar,PDP,,,infobox
Delta,,,,,infobox
Ebonyi,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Ebonyi,Atiku Abubakar,PDP,,,infobox
Ebonyi,,,,,infobox
Edo,Bola Tinubu,APC,112581.0,22.47,results_table
Edo,Peter Obi,LP,293962.0,58.7,results_table
Edo,Rabiu Kwankwaso,New Nigeria Peoples Party,2765.0,0.55,results_table
Edo,Atiku Abubakar,PDP,81311.0,16.23,results_table
Ekiti,Bola Tinubu,APC,201486.0,65.38,breakdown_total_row
Ekiti,Atiku Abubakar,PDP,89554.0,29.06,breakdown_total_row
Ekiti,Peter Obi,LP,11397.0,3.7,breakdown_total_row
Ekiti,Rabiu Kwankwaso,NNPP,264.0,0.09,breakdown_total_row
Ekiti,Other candidates,,5470.0,1.77,breakdown_total_row
Enugu,Bola Tinubu,APC,4772.0,1.05,results_table
Enugu,Peter Obi,LP,428640.0,93.91,results_table
Enugu,Rabiu Kwankwaso,New Nigeria Peoples Party,1808.0,0.4,results_table
Enugu,Atiku Abubakar,PDP,15749.0,3.45,results_table
Gombe,Peter Obi,LP,,5.13,infobox
Gombe,Rabiu Kwankwaso,New Nigeria Peoples Party,,2.06,infobox
Gombe,,,,,infobox
Imo,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Imo,Atiku Abubakar,PDP,,,infobox
Imo,,,,,infobox
Jigawa,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Jigawa,Atiku Abubakar,PDP,,,infobox
Jigawa,,,,,infobox
Kaduna,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Kaduna,Atiku Abubakar,PDP,,,infobox
Kaduna,,,,,infobox
Kano,Christopher Imumolen,A,347.0,,results_table
Kano,Hamza al-Mustapha,AA,729.0,,results_table
Kano,Yabagi Sani,ADP,2602.0,,results_table
Kano,Osita Nnadi,APP,533.0,,results_table
Kano,Omoyele Sowore,AAC,551.0,,results_table
Kano,Dumebi Kachikwu,ADC,2845.0,,results_table
Kano,Bola Tinubu,APC,506412.0,29.0,results_table
Kano,Peter Umeadi,APGA,1253.0,,results_table
Kano,Princess Chichi Ojei,APM,3170.0,,results_table
Kano,Sunday Adenuga,BP,364.0,,results_table
Kano,Peter Obi,LP,28513.0,1.0,results_table
Kano,Felix Johnson Osakwe,NRM,1540.0,,results_table
Kano,Rabiu Kwankwaso,New Nigeria Peoples Party,997279.0,58.0,results_table
Kano,Kola Abiola,PRP,1987.0,,results_table
Kano,Atiku Abubakar,PDP,131716.0,7.0,results_table
Kano,Adewole Adebayo,SDP,504.0,,results_table
Kano,Malik Ado-Ibrahim,YPP,9429.0,,results_table
Kano,Dan Nwanyanwu,ZLP,1790.0,,results_table
Katsina,Rabiu Kwankwaso,New Nigeria Peoples Party,,6.56,infobox
Katsina,Peter Obi,LP,,0.6,infobox
Katsina,,,,,infobox
Kebbi,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Kebbi,Atiku Abubakar,PDP,,,infobox
Kebbi,,,,,infobox
Kogi,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Kogi,Atiku Abubakar,PDP,,,infobox
Kogi,,,,,infobox
Kwara,Peter Obi,LP,,6.64,infobox
Kwara,Rabiu Kwankwaso,New Nigeria Peoples Party,,0.67,infobox
Kwara,,,,,infobox
Lagos,Bola Tinubu,APC,572606.0,45.04,breakdown_total_row
Lagos,Atiku Abubakar,PDP,75750.0,5.96,breakdown_total_row
Lagos,Peter Obi,LP,582454.0,45.81,breakdown_total_row
Lagos,Rabiu Kwankwaso,NNPP,8442.0,0.66,breakdown_total_row
Lagos,Other candidates,,32199.0,2.53,breakdown_total_row
Nasarawa,Atiku Abubakar,PDP,,27.21,infobox
Nasarawa,Rabiu Kwankwaso,New Nigeria Peoples Party,,2.35,infobox
Nasarawa,,,,,infobox
Niger,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Niger,Atiku Abubakar,PDP,,,infobox
Niger,,,,,infobox
Ogun,Peter Obi,LP,,14.79,infobox
Ogun,Rabiu Kwankwaso,New Nigeria Peoples Party,,0.38,infobox
Ogun,,,,,infobox
Ondo,Bola Tinubu,APC,369924.0,67.14,breakdown_total_row
Ondo,Atiku Abubakar,PDP,115463.0,20.95,breakdown_total_row
Ondo,Peter Obi,LP,47350.0,8.59,breakdown_total_row
Ondo,Rabiu Kwankwaso,NNPP,930.0,0.17,breakdown_total_row
Ondo,Other candidates,,17341.0,3.15,breakdown_total_row
Osun,Peter Obi,LP,,3.17,infobox
Osun,Rabiu Kwankwaso,New Nigeria Peoples Party,,0.1,infobox
Osun,,,,,infobox
Oyo,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Oyo,Atiku Abubakar,PDP,,,infobox
Oyo,,,,,infobox
Plateau,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Plateau,Atiku Abubakar,PDP,,,infobox
Plateau,,,,,infobox
Rivers,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Rivers,Atiku Abubakar,PDP,,,infobox
Rivers,,,,,infobox
Sokoto,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Sokoto,Atiku Abubakar,PDP,,,infobox
Sokoto,,,,,infobox
Taraba,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Taraba,Atiku Abubakar,PDP,,,infobox
Taraba,,,,,infobox
FCT,Bola Tinubu,APC,90902.0,19.76,breakdown_total_row
FCT,Atiku Abubakar,PDP,74194.0,16.13,breakdown_total_row
FCT,Peter Obi,LP,281717.0,61.23,breakdown_total_row
FCT,Rabiu Kwankwaso,NNPP,4517.0,0.98,breakdown_total_row
FCT,Other candidates,,8741.0,1.9,breakdown_total_row
Yobe,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Yobe,Atiku Abubakar,PDP,,,infobox
Yobe,,,,,infobox
Zamfara,Rabiu Kwankwaso,New Nigeria Peoples Party,,,infobox
Zamfara,Atiku Abubakar,PDP,,,infobox
Zamfara,,,,,infobox
