state,candidate,party,votes,percent,source
Abia,Rabiu Kwankwaso,NNPP,,,infobox
Abia,Atiku Abubakar,PDP,,,infobox
Abia,,,,,infobox
Adamawa,Rabiu Kwankwaso,NNPP,,,infobox
Adamawa,Atiku Abubakar,PDP,,,infobox
Adamawa,,,,,infobox
Akwa Ibom,Rabiu Kwankwaso,NNPP,,,infobox
Akwa Ibom,Atiku Abubakar,PDP,,,infobox
Akwa Ibom,,,,,infobox
Anambra,Peter Obi,LP,584621.0,95.24,results_table
Anambra,Atiku Abubakar,PDP,9036.0,1.47,results_table
Anambra,Peter Umeadi,APGA,7388.0,1.2,results_table
Anambra,Bola Tinubu,APC,5111.0,0.83,results_table
Anambra,Malik Ado-Ibrahim,YPP,1997.0,0.33,results_table
Anambra,Rabiu Kwankwaso,NNPP,1967.0,0.32,results_table
Anambra,Dan Nwanyanwu,ZLP,1420.0,0.23,results_table
Anambra,Sunday Adenuga,BP,514.0,0.08,results_table
Anambra,Christopher Imumolen,A,343.0,0.06,results_table
Anambra,Princess Chichi Ojei,APM,325.0,0.05,results_table
Anambra,Yabagi Sani,ADP,299.0,0.05,results_table
Anambra,Dumebi Kachikwu,ADC,208.0,0.03,results_table
Anambra,Osita Nnadi,APP,148.0,0.02,results_table
Anambra,Felix Johnson Osakwe,NRM,118.0,0.02,results_table
Anambra,Omoyele Sowore,AAC,112.0,0.02,results_table
Anambra,Hamza al-Mustapha,AA,108.0,0.02,results_table
Anambra,Adewole Adebayo,SDP,84.0,0.01,results_table
Anambra,Kola Abiola,PRP,62.0,0.01,results_table
Bauchi,Atiku Abubakar,PDP,426607.0,49.98,results_table
Bauchi,Bola Tinubu,APC,316694.0,37.1,results_table
Bauchi,Rabiu Kwankwaso,NNPP,72103.0,8.45,results_table
Bauchi,Peter Obi,LP,27373.0,3.21,results_table
Bauchi,Others candidates,Others,10739.0,1.26,results_table
Bayelsa,Bola Tinubu,APC,42572.0,25.75,breakdown_total_row
Bayelsa,Atiku Abubakar,PDP,68818.0,41.62,breakdown_total_row
Bayelsa,Peter Obi,LP,49975.0,30.23,breakdown_total_row
